#SUBMITTED ID	LOCATION_ARM	NAME	SYMBOL
FBgn0002906	3R	Bloom syndrome helicase	Blm
FBgn0002931	2L	net	net
FBgn0002939	2L	neither inactivation nor afterpotential D	ninaD
FBgn0003034	3L	Sex Peptide	SP
FBgn0003053	X	pebbled	peb
FBgn0003076	3L	Phosphoglucose mutase 1	Pgm1
FBgn0003118	3R	pointed	pnt
FBgn0003124	3L	polo	polo
FBgn0003132	X	Protein phosphatase 1 at 13C	Pp1-13C
FBgn0003137	3R	Papilin	Ppn
FBgn0003145	2L	paired	prd
FBgn0003248	3R	Rhodopsin 2	Rh2
FBgn0003250	3L	Rhodopsin 4	Rh4
FBgn0003274	2R	Ribosomal protein LP2	RpLP2
FBgn0003302	X	roughex	rux
FBgn0003308	3R	rosy	ry
FBgn0003346	2L	Ran GTPase activating protein	RanGAP
FBgn0003366	X	sevenless	sev
FBgn0003371	X	shaggy	sgg
FBgn0003372	2L	Salivary gland secretion 1	Sgs1
FBgn0003391	2R	shotgun	shg
FBgn0003410	3L	seven in absentia	sina
FBgn0003479	3R	spindle A	spn-A
FBgn0003514	X	spaghetti squash	sqh
FBgn0003545	2R	subito	sub
FBgn0003557	2L	Suppressor of deltex	Su(dx)
FBgn0003612	2R	Suppressor of variegation 2-10	Su(var)2-10
FBgn0003714	X	technical knockout	tko
FBgn0003731	2R	Epidermal growth factor receptor	Egfr
FBgn0003870	3R	tramtrack	ttk
FBgn0003885	3R	alpha-Tubulin at 84D	alphaTub84D
FBgn0003888	2R	beta-Tubulin at 60D	betaTub60D
FBgn0003890	3R	beta-Tubulin at 97EF	betaTub97EF
FBgn0003891	2R	tudor	tud
FBgn0003943	3L	Ubiquitin-63E	Ubi-p63E
FBgn0003950	X	uncoordinated	unc
FBgn0003961	2L	Urate oxidase	Uro
FBgn0004003	2R	windbeutel	wbl
FBgn0004066	X	Proteasome alpha4 subunit	Prosalpha4
FBgn0004103	3R	Protein phosphatase 1 at 87B	Pp1-87B
FBgn0004106	2L	Cyclin-dependent kinase 1	Cdk1
FBgn0004133	2R	blown fuse	blow
FBgn0004167	3L	karst	kst
FBgn0004175	3R	Male-specific RNA 84Dd	Mst84Dd
FBgn0004181	2R	Ejaculatory bulb protein	Ebp
FBgn0004198	X	cut	ct
FBgn0004228	3L	midgut expression 1	mex1
FBgn0004240	2R	Diptericin A	DptA
FBgn0004364	
FBgn0004372	3L	always early	aly
FBgn0004374	2L	nebbish	neb
FBgn0004379	3L	Kinesin-like protein at 67A	Klp67A
FBgn0004414	3L	male-specific opa containing gene	msopa
FBgn0004428	3L	Lysozyme E	LysE
FBgn0004429	3L	Lysozyme P	LysP
FBgn0004431	3L	Lysozyme X	LysX
FBgn0004449	3L	Tenascin major	Ten-m
FBgn0004507	2L	Glycogen phosphorylase	GlyP
FBgn0004513	3L	Multi drug resistance 65	Mdr65
FBgn0004607	4	Zn finger homeodomain 2	zfh2
FBgn0004620	2L	Glutamate receptor IIA	GluRIIA
FBgn0004648	X	silver	svr
FBgn0004649	X	yolkless	yl
FBgn0004654	X	Phosphogluconate dehydrogenase	Pgd
FBgn0004655	X	wings apart-like	wapl
FBgn0004657	X	myospheroid	mys
FBgn0004811	2L	female sterile (2) ltoPP43	fs(2)ltoPP43
FBgn0004841	3R	Tachykinin-like receptor at 86C	TkR86C
FBgn0004903	3R	Ribonuclear protein at 97D	Rb97D
FBgn0004915	2L	Transcription factor IIB	TfIIB
FBgn0004956	X	unpaired 1	upd1
FBgn0005632	3R	fat facets	faf
FBgn0005660	2L	Ets at 21C	Ets21C
FBgn0005664	2L	Crystallin	Crys
FBgn0005670	X	Cytochrome P450 4d1	Cyp4d1
FBgn0005671	3R	Vacuolar H[+]-ATPase 55kD subunit	Vha55
FBgn0010038	3R	Glutathione S transferase D2	GstD2
FBgn0010039	3R	Glutathione S transferase D3	GstD3
FBgn0010041	3R	Glutathione S transferase D5	GstD5
FBgn0010051	3R	Inositol 1,4,5,-trisphosphate receptor	Itpr
FBgn0010173	3R	Replication Protein A 70	RpA-70
FBgn0010213	2R	Superoxide dismutase 2 (Mn)	Sod2
FBgn0010246	3L	Myosin 61F	Myo61F
FBgn0010258	3R	RNA-binding protein 4	Rbp4
FBgn0010282	3R	Transcription factor IIFalpha	TfIIFalpha
FBgn0010314	2L	Cyclin-dependent kinase subunit 30A	Cks30A
FBgn0010328	3R	without children	woc
FBgn0010341	X	Cdc42	Cdc42
FBgn0010385	2R	Defensin	Def
FBgn0010389	3R	heartless	htl
FBgn0010401	3R	Os-C	Os-C
FBgn0010434	2R	coracle	cora
FBgn0010488	2R	NAT1	NAT1
FBgn0010549	2R	lethal (2) 03659	l(2)03659
FBgn0010638	2R	Sec61 beta subunit	Sec61beta
FBgn0010909	3L	misshapen	msn
FBgn0011202	2L	diaphanous	dia
FBgn0011225	3R	jaguar	jar
FBgn0011270	3R	Phosphoglyceromutase 87	Pglym87
FBgn0011286	2R	Ryanodine receptor	RyR
FBgn0011327	3L	Ubiquitin carboxy-terminal hydrolase L5	Uch-L5
FBgn0011476	3R	lethal (3) neo43	l(3)neo43
FBgn0011554	2R	etaTrypsin	etaTry
FBgn0011559	2L	Accessory gland protein 36DE	Acp36DE
FBgn0011569	3L	cannonball	can
FBgn0011570	2L	capping protein beta	cpb
FBgn0011576	X	Cytochrome P450 4d2	Cyp4d2
FBgn0011603	2L	inebriated	ine
FBgn0011653	3L	masquerade	mas
FBgn0011661	X	Moesin	Moe
FBgn0011668	3R	Male-specific RNA 57Da	Mst57Da
FBgn0011669	3R	Male-specific RNA 57Db	Mst57Db
FBgn0011670	3R	Male-specific transcript 57Dc	Mst57Dc
FBgn0011692	3L	pavarotti	pav
FBgn0011693	3L	Photoreceptor dehydrogenase	Pdh
FBgn0011694	2R	Ejaculatory bulb protein II	EbpII
FBgn0011703	2L	Ribonucleoside diphosphate reductase large subunit	RnrL
FBgn0011704	2R	Ribonucleoside diphosphate reductase small subunit	RnrS
FBgn0011726	2R	twinstar	tsr
FBgn0011743	2R	Actin-related protein 53D	Arp53D
FBgn0011746	2R	anachronism	ana
FBgn0011771	3L	HEM-protein	Hem
FBgn0011817	3L	nemo	nmo
FBgn0011822	X	Pepsinogen C-like	Pgcl
FBgn0011834	X	Serine protease 6	Ser6
FBgn0012034	3L	Acetyl Coenzyme A synthase	AcCoAS
FBgn0012037	2L	Angiotensin converting enzyme	Ance
FBgn0013272	2R	Gp150	Gp150
FBgn0013277	3R	Heat-shock-protein-70Ba	Hsp70Ba
FBgn0013301	2L	Protamine B	ProtB
FBgn0013305	2R	N-methyl-D-aspartate receptor-associated protein	Nmda1
FBgn0013307	2R	Ornithine decarboxylase 1	Odc1
FBgn0013308	2R	Ornithine decarboxylase 2	Odc2
FBgn0013725	2R	phyllopod	phyl
FBgn0013726	2R	peanut	pnut
FBgn0013763	2R	Imaginal disc growth factor 6	Idgf6
FBgn0013771	2R	Cytochrome P450 6a9	Cyp6a9
FBgn0013772	2R	Cytochrome P450 6a8	Cyp6a8
FBgn0013773	2R	Cytochrome P450 6a22	Cyp6a22
FBgn0013812	3R	Dynein heavy chain at 93AB	Dhc93AB
FBgn0014029	3R	Septin 2	Septin2
FBgn0014031	X	Alanine-glyoxylate aminotransferase	Agxt
FBgn0014133	X	bifocal	bif
FBgn0014184	2R	Ornithine decarboxylase antizyme	Oda
FBgn0014396	2L	timeless	tim
FBgn0014469	2R	Cytochrome P450 4e2	Cyp4e2
FBgn0014930	3R	-	CG2846
FBgn0015008	3R	alpha actinin 3	Actn3
FBgn0015033	3L	Cytochrome P450 4d8	Cyp4d8
FBgn0015034	2R	Cytochrome P450 4e1	Cyp4e1
FBgn0015035	2L	Cytochrome P450 4e3	Cyp4e3
FBgn0015037	2R	Cytochrome P450 4p1	Cyp4p1
FBgn0015039	2R	Cytochrome P450 9b2	Cyp9b2
FBgn0015075	3L	Dead-box-1	Ddx1
FBgn0015221	3R	Ferritin 2 light chain homologue	Fer2LCH
FBgn0015222	3R	Ferritin 1 heavy chain homologue	Fer1HCH
FBgn0015230	3R	Glucose transporter type 3	Glut3
FBgn0015300	2R	Suppressor of Stellate-like	Ssl
FBgn0015320	2L	Ubiquitin conjugating enzyme 2	Ubc2
FBgn0015336	X	-	CG15865
FBgn0015359	3L	-	CG2034
FBgn0015376	2L	cutlet	cutlet
FBgn0015399	2L	kekkon 1	kek1
FBgn0015553	2L	tosca	tos
FBgn0015574	3R	alpha-Esterase-6	alpha-Est6
FBgn0015576	3R	alpha-Esterase-8	alpha-Est8
FBgn0015583	2L	Accessory gland protein 29AB	Acp29AB
FBgn0015584	2R	Accessory gland protein 53Ea	Acp53Ea
FBgn0015585	3L	Accessory gland protein 63F	Acp63F
FBgn0015586	3L	Accessory gland protein 76A	Acp76A
FBgn0015589	3R	APC-like	Apc
FBgn0015625	3R	Cyclin B3	CycB3
FBgn0015714	2R	Cytochrome P450 6a17	Cyp6a17
FBgn0015872	2R	Drip	Drip
FBgn0015905	2L	asteroid	ast
FBgn0015925	2R	capsuleen	csul
FBgn0016041	X	Translocase of outer membrane 40	Tom40
FBgn0016054	2L	(6-4)-photolyase	phr6-4
FBgn0016075	2L	viking	vkg
FBgn0016122	2L	Angiotensin-converting enzyme-related	Acer
FBgn0016123	3R	Alkaline phosphatase 4	Alp4
FBgn0016675	2L	Galactose-specific C-type lectin	Lectin-galC1
FBgn0016684	2R	Na[+]-dependent inorganic phosphate cotransporter	NaPi-T
FBgn0016685	3R	Nucleoplasmin	Nlp
FBgn0016687	2R	Nucleosome remodeling factor - 38kD	Nurf-38
FBgn0016693	3R	Putative Achaete Scute Target 1	Past1
FBgn0016696	3L	Pitslre	Pitslre
FBgn0016919	2L	no mechanoreceptor potential B	nompB
FBgn0016920	2L	no mechanoreceptor potential C	nompC
FBgn0016926	2L	Pinocchio	Pino
FBgn0016970	2R	lethal (2) k10201	l(2)k10201
FBgn0016984	2R	skittles	sktl
FBgn0017430	3L	Negative elongation factor E	Nelf-E
FBgn0017448	3R	-	CG2187
FBgn0017482	2R	Type III alcohol dehydrogenase	T3dh
FBgn0017556	2R	Proteasome alpha4 subunit, Testis-specific 2	Prosalpha4T2
FBgn0017558	2R	Pyruvate dehydrogenase kinase	Pdk
FBgn0019643	
FBgn0019650	4	twin of eyeless	toy
FBgn0019940	3R	Rhodopsin 6	Rh6
FBgn0019990	3R	Gcn2	Gcn2
FBgn0020236	2R	ATP citrate lyase	ATPCL
FBgn0020280	3R	labial associated factor	laf
FBgn0020370	2R	Tripeptidyl-peptidase II	TppII
FBgn0020371	2L	Translocase inner membrane 17	Tim17b2
FBgn0020385	3R	pugilist	pug
FBgn0020414	2L	Imaginal disc growth factor 3	Idgf3
FBgn0020416	2L	Imaginal disc growth factor 1	Idgf1
FBgn0020509	3L	Accessory gland protein 62F	Acp62F
FBgn0020545	2L	kraken	kraken
FBgn0020616	2L	Stromalin	SA
FBgn0020620	2R	Related to the N terminus of tre oncogene	RN-tre
FBgn0020906	2L	Jonah 25Bi	Jon25Bi
FBgn0020910	3R	Ribosomal protein L3	RpL3
FBgn0021760	3L	chromosome bows	chb
FBgn0021765	X	scully	scu
FBgn0021768	3L	nudC	nudC
FBgn0021796	2L	Target of rapamycin	Tor
FBgn0021847	2R	Tetratricopeptide repeat domain 7	Ttc7
FBgn0021995	2R	Rs1	Rs1
FBgn0022700	2R	Chitinase 4	Cht4
FBgn0022702	3L	Chitinase 2	Cht2
FBgn0022774	3L	Ornithine aminotransferase precursor	Oat
FBgn0022981	3R	ripped pocket	rpk
FBgn0022984	2R	quaking related 58E-3	qkr58E-3
FBgn0022986	2R	quaking related 58E-1	qkr58E-1
FBgn0023076	3L	Clock	Clk
FBgn0023081	2R	genghis khan	gek
FBgn0023090	2L	defective transmitter release	dtr
FBgn0023091	2L	dimmed	dimm
FBgn0023172	2R	Rho guanine nucleotide exchange factor 2	RhoGEF2
FBgn0023407	2L	B4	B4
FBgn0023458	X	Rabconnectin-3A	Rbcn-3A
FBgn0023477	2R	Transaldolase	Taldo
FBgn0023479	3L	Tequila	teq
FBgn0023507	X	D-2-hydroxyglutaric acid dehydrogenase	D2hgdh
FBgn0023526	X	-	CG2865
FBgn0023529	X	-	CG2918
FBgn0023534	X	-	CG17778
FBgn0023541	X	Cytochrome P450 4d14	Cyp4d14
FBgn0023550	X	Fatty acyl-CoA reductase in oenocytes	FarO
FBgn0024150	3L	Adenylyl cyclase 78C	Ac78C
FBgn0024187	3L	sunday driver	syd
FBgn0024188	2R	separation anxiety	san
FBgn0024238	X	Fimbrin	Fim
FBgn0024244	2L	drumstick	drm
FBgn0024289	3R	Sorbitol dehydrogenase 1	Sodh-1
FBgn0024329	3R	Mekk1	Mekk1
FBgn0024361	X	Tetraspanin 2A	Tsp2A
FBgn0024365	X	-	CG12773
FBgn0024366	X	-	CG11409
FBgn0024371	2L	E2F transcription factor 2	E2f2
FBgn0024491	3R	Bicoid interacting protein 1	Bin1
FBgn0024556	2R	mitochondrial translation elongation factor Tu 1	mEFTu1
FBgn0024921	3L	Transportin	Tnpo
FBgn0024983	X	-	CG4293
FBgn0024985	X	Rab interacting lysosomal protein like	Rilpl
FBgn0024992	X	Paraplegin	Spg7
FBgn0025115	2L	Acylphosphatase	Acyp
FBgn0025352	2R	Mitochondrial trifunctional protein beta subunit	Mtpbeta
FBgn0025388	X	Alstrom syndrome 1a	Alms1a
FBgn0025454	2R	Cytochrome P450 6g1	Cyp6g1
FBgn0025456	3R	Cellular Repressor of E1A-stimulated Genes	CREG
FBgn0025608	2L	Fas-associated factor 2	Faf2
FBgn0025628	X	-	CG4199
FBgn0025631	X	moody	moody
FBgn0025638	X	Regulator of cullins 1a	Roc1a
FBgn0025642	X	-	CG32812
FBgn0025692	2R	Lifeguard	Lfg
FBgn0025814	X	Microsomal glutathione S-transferase-like	Mgstl
FBgn0025821	3R	inhibitor-t	I-t
FBgn0025836	X	Rho GTPase activating protein at 1A	RhoGAP1A
FBgn0025837	X	-	CG17636
FBgn0025838	X	-	CG2652
FBgn0025865	3R	Cortactin	Cortactin
FBgn0025866	3L	Calpain-B	CalpB
FBgn0025878	2R	wrapper	wrapper
FBgn0026015	X	Topoisomerase 3beta	Top3beta
FBgn0026083	X	twenty-four	tyf
FBgn0026084	X	ciboulot	cib
FBgn0026175	X	SKP1-related C	SkpC
FBgn0026176	2R	SKP1-related B	SkpB
FBgn0026207	3R	members only	mbo
FBgn0026239	3R	GUK-holder	gukh
FBgn0026252	3L	moleskin	msk
FBgn0026403	2R	Nidogen	Ndg
FBgn0026576	3R	Phosphatidylserine decarboxylase	Pisd
FBgn0026722	2R	drosha	drosha
FBgn0026738	3L	-	CG7857
FBgn0027070	2L	UDP-glycosyltransferase family 36 member E1	Ugt36E1
FBgn0027073	2R	UDP-glycosyltransferase family 49 member B1	Ugt49B1
FBgn0027074	2L	UDP-glycosyltransferase family 36 member F1	Ugt36F1
FBgn0027081	2L	Threonyl-tRNA synthetase	ThrRS
FBgn0027343	X	frizzled 3	fz3
FBgn0027496	2L	Coat Protein (coatomer) epsilon	epsilonCOP
FBgn0027500	3L	spindle defective 2	spd-2
FBgn0027505	2L	Rab3 GTPase activating protein	Rab3-GAP
FBgn0027528	X	gone early	goe
FBgn0027539	3R	lilipod	lili
FBgn0027556	X	-	CG4928
FBgn0027560	2L	Trehalose-6-phosphate synthase 1	Tps1
FBgn0027569	3L	ceramide transfer protein	cert
FBgn0027578	3R	Neprilysin-like 21	Nepl21
FBgn0027585	2R	-	CG8740
FBgn0027594	3L	draper	drpr
FBgn0027598	3R	CIN85 and CD2AP related	cindr
FBgn0027601	X	pudgy	pdgy
FBgn0027611	2L	Lysosomal alpha-mannosidase II	LManII
FBgn0027657	3R	globin 1	glob1
FBgn0027779	2L	Vacuolar H[+]-ATPase SFD subunit	VhaSFD
FBgn0027795	X	-	CG14785
FBgn0027843	3L	Carbonic anhydrase 2	CAH2
FBgn0027889	3R	ballchen	ball
FBgn0028360	X	Cdc7 kinase	Cdc7
FBgn0028370	2L	kekkon 3	kek3
FBgn0028371	2R	jitterbug	jbug
FBgn0028379	3L	farinelli	fan
FBgn0028381	3R	Death executioner caspase related to Apopain/Yama	Decay
FBgn0028397	X	Transducer of ERBB2	Tob
FBgn0028410	2L	Pk34A	Pk34A
FBgn0028412	2L	Mst33A	Mst33A
FBgn0028415	3L	Met75Cb	Met75Cb
FBgn0028421	X	Kinesin associated protein 3	Kap3
FBgn0028424	2R	Juvenile hormone-inducible protein 26	JhI-26
FBgn0028473	2R	Novel nucleolar protein 1	Non1
FBgn0028482	2L	borderless	bdl
FBgn0028516	2L	Zinc transporter 35C	ZnT35C
FBgn0028518	2L	-	CG18480
FBgn0028520	2L	-	CG4891
FBgn0028531	2L	-	CG15286
FBgn0028532	2L	-	CG7968
FBgn0028533	2L	-	CG7953
FBgn0028552	2R	gamma Soluble NSF attachment protein 1	gammaSnap1
FBgn0028561	2R	sugar transporter 3	sut3
FBgn0028569	2L	robl37BC	robl37BC
FBgn0028570	2L	robl22E	robl22E
FBgn0028573	3L	pericardin	prc
FBgn0028583	X	la costa	lcs
FBgn0028646	3R	aralar1	aralar1
FBgn0028662	3R	Vacuolar H[+] ATPase PPA1 subunit 1	VhaPPA1-1
FBgn0028668	3L	Vacuolar H[+] ATPase 16kD subunit 2	Vha16-2
FBgn0028670	3R	Vacuolar H[+] ATPase 100kD subunit 2	Vha100-2
FBgn0028675	2L	Sulfonylurea receptor	Sur
FBgn0028689	2R	Regulatory particle non-ATPase 6	Rpn6
FBgn0028737	2R	eukaryotic translation elongation factor 1 beta	eEF1beta
FBgn0028789	3L	Dorsocross1	Doc1
FBgn0028838	2L	COP9 signalosome subunit 1a	CSN1a
FBgn0028844	2L	-	CG15283
FBgn0028847	2L	-	CG9014
FBgn0028850	2L	-	CG15260
FBgn0028852	2L	-	CG15262
FBgn0028853	2L	-	CG15263
FBgn0028856	2L	-	CG18063
FBgn0028858	2L	-	CG10839
FBgn0028870	2L	-	CG4691
FBgn0028872	2L	-	CG18095
FBgn0028880	2L	-	CG15256
FBgn0028884	2L	-	CG4892
FBgn0028892	2L	-	CG4161
FBgn0028893	2L	-	CG31819
FBgn0028896	2L	-	CG17329
FBgn0028897	2L	-	CG4935
FBgn0028901	2L	testis-specific gamma-tubulin ring protein 91	t-Grip91
FBgn0028902	2L	Tektin A	Tektin-A
FBgn0028919	2L	-	CG16865
FBgn0028938	2L	-	Vajk1
FBgn0028939	2L	Nimrod C2	NimC2
FBgn0028942	2L	-	CG16852
FBgn0028944	2L	Seminal metalloprotease-1	Semp1
FBgn0028950	2L	-	CG15255
FBgn0028952	2L	Kinetochore and EB1 associated basic protein	Kebab
FBgn0028965	2L	-	CG9933
FBgn0028980	3L	tantalus	tant
FBgn0028983	2R	Serpin 55B	Spn55B
FBgn0028986	2L	Serpin 38F	Spn38F
FBgn0028987	2L	Serpin 28F	Spn28F
FBgn0028988	2R	Serpin 42Dd	Spn42Dd
FBgn0028997	3R	nmdyn-D7	nmdyn-D7
FBgn0029002	3L	midkine and pleiotrophin 2	miple2
FBgn0029091	3L	Chitin synthase 2	Chs2
FBgn0029114	3L	Tollo	Tollo
FBgn0029121	3L	severas	Sras
FBgn0029155	3R	Malic enzyme b	Men-b
FBgn0029167	3L	Hemolectin	Hml
FBgn0029176	3R	eukaryotic translation elongation factor 1 gamma	eEF1gamma
FBgn0029501	2R	Caldesmon-related protein	Crtp
FBgn0029507	2R	Tetraspanin 42Ed	Tsp42Ed
FBgn0029539	X	-	CG11663
FBgn0029596	X	-	CG14054
FBgn0029648	X	-	CG3603
FBgn0029656	X	-	CG10793
FBgn0029657	X	-	CG12535
FBgn0029659	X	-	CG16782
FBgn0029661	X	-	CG16781
FBgn0029667	X	Growth arrest specific protein 8	Gas8
FBgn0029669	X	-	CG13021
FBgn0029676	X	Hsc/Hsp70-interacting protein related	HIP-R
FBgn0029700	X	-	CG15576
FBgn0029701	X	-	CG12691
FBgn0029703	X	-	CG12692
FBgn0029705	X	-	CG12693
FBgn0029717	X	-	CG12684
FBgn0029722	X	-	CG7024
FBgn0029724	X	-	CG15472
FBgn0029725	X	-	CG2871
FBgn0029726	X	-	CG15471
FBgn0029728	X	-	CG2861
FBgn0029729	X	-	CG12682
FBgn0029730	X	boilerman	boil
FBgn0029747	X	-	CG5062
FBgn0029750	X	-	CG3323
FBgn0029751	X	-	CG17764
FBgn0029752	X	Thioredoxin T	TrxT
FBgn0029753	X	-	CG4198
FBgn0029761	X	small conductance calcium-activated potassium channel	SK
FBgn0029765	X	-	CG16756
FBgn0029766	X	-	CG15784
FBgn0029769	X	fra mauro	frma
FBgn0029795	X	-	CG15773
FBgn0029812	X	Proteasome beta2 subunit-related 1	Prosbeta2R1
FBgn0029816	X	-	CG12729
FBgn0029817	X	-	CG15764
FBgn0029826	X	-	CG6041
FBgn0029831	X	-	CG5966
FBgn0029849	X	ER GDP-fucose transporter	Efr
FBgn0029856	X	-	CG11700
FBgn0029859	X	-	CG15892
FBgn0029863	X	-	CG3823
FBgn0029877	X	-	CG17717
FBgn0029879	X	Anaphase Promoting Complex subunit 7	APC7
FBgn0029882	X	-	CG3226
FBgn0029890	X	Fumarase 2	Fum2
FBgn0029896	X	-	CG3168
FBgn0029898	X	-	CG14439
FBgn0029940	X	-	CG1958
FBgn0029946	X	-	CG15034
FBgn0029947	X	-	CG1999
FBgn0029949	X	-	CG15035
FBgn0029952	X	-	CG12689
FBgn0029963	X	-	CG10920
FBgn0029964	X	-	CG1409
FBgn0029989	X	-	CG15333
FBgn0029990	X	-	CG2233
FBgn0029993	X	-	CG1571
FBgn0029994	X	Lipid droplet subset dehydrogenase 1	Ldsdh1
FBgn0030004	X	-	CG10958
FBgn0030025	X	-	CG2147
FBgn0030040	X	-	CG15347
FBgn0030041	X	-	CG12116
FBgn0030058	X	-	CG11294
FBgn0030065	X	-	CG12075
FBgn0030073	X	-	CG10962
FBgn0030101	X	-	CG12118
FBgn0030103	X	Odorant-binding protein 8a	Obp8a
FBgn0030120	X	-	CG17440
FBgn0030163	X	-	CG1791
FBgn0030191	X	-	CG15306
FBgn0030196	X	Partner of Sld Five 3	Psf3
FBgn0030207	X	-	CG2887
FBgn0030215	X	-	CG15296
FBgn0030224	X	-	CG12637
FBgn0030241	X	fascetto	feo
FBgn0030247	X	-	CG15208
FBgn0030257	X	SET and MYND domain containing, arthropod-specific, member 4	SmydA-4
FBgn0030276	X	Dynein light intermediate chain	Dlic
FBgn0030277	X	-	CG1394
FBgn0030278	X	-	CG15200
FBgn0030280	X	-	CG11106
FBgn0030283	X	-	CG15198
FBgn0030290	X	-	CG11756
FBgn0030306	X	Spase 25-subunit	Spase25
FBgn0030307	X	-	CG33235
FBgn0030310	X	Peptidoglycan recognition protein SA	PGRP-SA
FBgn0030313	X	Receptor accessory protein like 1	Reepl1
FBgn0030317	X	Pinkman	pkm
FBgn0030319	X	-	CG2533
FBgn0030331	X	-	CG15221
FBgn0030332	X	-	CG9360
FBgn0030334	X	Karl	Karl
FBgn0030341	X	p24-related-1	p24-1
FBgn0030347	X	-	CG15739
FBgn0030348	X	-	CG10352
FBgn0030349	X	-	CG10353
FBgn0030359	X	-	CG18130
FBgn0030362	X	regucalcin	regucalcin
FBgn0030367	X	Cytochrome P450 311a1	Cyp311a1
FBgn0030377	X	-	CG1924
FBgn0030391	X	Rab40	Rab40
FBgn0030395	X	Meckel syndrome, type 1	Mks1
FBgn0030396	X	-	CG2556
FBgn0030398	X	Cuticular protein 11B	Cpr11B
FBgn0030409	X	-	CG15728
FBgn0030420	X	pirate	pira
